PlaceId,PlaceName,Municipalities,Zip
1,BZENICE,23,37238
2,BOBOTE,23,37230
3,BOTURIĆI,23,37227
4,BRATIĆI,23,37230
5,ALEKSANDROVAC,23,37230
6,VELIKA VRBNICA,23,37233
7,VELJA GLAVA,23,37230
8,VENČAC,23,37230
9,VITKOVO,23,37230
10,VRAŽOGRNCI,23,37235
11,VRANŠTICA,23,37238
12,VRBNICA,23,37230
13,GAREVINA,23,37234
14,GORNJA ZLEGINJA,23,37235
15,GORNJE RATAJE,23,37236
16,GORNJI VRATARI,23,37230
17,GORNJI STUPANJ,23,37234
18,GRČAK,23,37238
19,DAŠNICA,23,37234
20,DOBROLJUBCI,23,37239
21,DONJA ZLEGINJA,23,37235
22,DONJE RATAJE,23,37236
23,DONJI VRATARI,23,37230
24,DONJI STUPANJ,23,37234
25,DRENČA,23,37230
26,JELAKCI,23,37238
27,KOŽETIN,23,37230
28,KOZNICA,23,37238
29,LATKOVAC,23,37230
30,LAĆISLED,23,37234
31,LESENOVCI,23,37230
32,LESKOVICA,23,37230
33,LJUBINCI,23,37235
34,MRMOŠ,23,37233
35,NOVACI,23,37235
36,PANJEVAC,23,37239
37,PARČIN,23,37239
38,PLEŠ,23,37238
39,PLOČA,23,37238
40,POPOVCI,23,37230
41,PUHOVAC,23,37230
42,RAKLJA,23,37230
43,RŽANICA,23,37230
44,ROGAVČINA,23,37238
45,ROKCI,23,37238
46,RUDENICE,23,37230
47,STANJEVO,23,37230
48,STARCI,23,37230
49,STRMENICA,23,37238
50,STUBAL,23,37230
51,SUBOTICA,23,37235
52,TRŽAC,23,37230
53,TRNAVCI,23,37235
54,TULEŠ,23,37230
55,ŠLJIVOVO,23,37239
56,ALEKSINAC,24,18220
57,ALEKSINAČKI BUJMIR,24,18220
58,ALEKSINAČKI RUDNIK,24,18226
59,BANKOVAC,24,18212
60,BELI BREG,24,18223
61,BELJA,24,18210
62,BOBOVIŠTE,24,18224
63,BOVAN,24,18227
64,BRADARAC,24,18224
65,VAKUP,24,18220
66,VELIKI DRENOVAC,24,18212
67,VITKOVAC,24,18216
68,VRELO,24,18202
69,VRĆENOVICA,24,18221
70,VUKANJA,24,18214
71,VUKAŠINOVAC,24,18224
72,GLOGOVICA,24,18220
74,GORNJA PEŠČANICA,24,18213
75,GORNJE SUHOTNO,24,18210
76,GORNJI ADROVAC,24,18210
77,GORNJI KRUPAC,24,18223
78,GORNJI LJUBEŠ,24,18216
79,GREDETIN,24,18213
80,GREJAČ,24,18212
81,DAŠNICA,24,18212
82,DELIGRAD,24,18224
83,DOBRUJEVAC,24,18225
84,DONJA PEŠČANICA,24,18213
85,DONJE SUHOTNO,24,18210
86,DONJI ADROVAC,24,18210
87,DONJI KRUPAC,24,18223
88,DONJI LJUBEŠ,24,18216
89,DRAŽEVAC,24,18223
90,ŽITKOVAC,24,18210
91,JAKOVLJE,24,18213
92,JASENJE,24,18224
93,KAMENICA,24,18213
94,KATUN,24,18225
95,KOPRIVNICA,24,18212
96,KORMAN,24,18216
97,KRALJEVO,24,18220
98,KRUŠJE,24,18213
99,KULINA,24,18214
100,LIPOVAC,24,18225
101,LOZNAC,24,18213
102,LOĆIKA,24,18212
103,LUŽANE,24,18210
104,LJUPTEN,24,18214
105,MALI DRENOVAC,24,18212
106,MOZGOVO,24,18229
107,MORAVAC,24,18210
108,MORAVSKI BUJMIR,24,18210
109,NOZRINA,24,18210
110,PORODIN,24,18214
111,PREKONOZI,24,18223
112,PRĆILOVICA,24,18210
113,PRUGOVAC,24,18225
114,RADEVCE,24,18213
115,RSOVAC,24,18223
116,RUTEVAC,24,18224
117,SREZOVAC,24,18216
118,STANCI,24,18225
119,STUBLINA,24,18210
120,SUBOTINAC,24,18227
121,TEŠICA,24,18212
122,TRNJANE,24,18213
123,ĆIĆINA,24,18224
124,CRNA BARA,24,18225
125,ČESTA,24,18221
126,ČUKUROVAC,24,18221
127,ŠURIĆ,24,18221
128,ARANĐELOVAC,200,34300
129,BANJA,200,34304
130,BOSUTA,200,34309
131,BREZOVAC,200,34304
132,BUKOVIK,200,34301
133,VENČANE,200,34306
134,VRBICA,200,34300
135,VUKOSAVCI,200,34309
136,GARAŠI,200,34309
137,GORNJA TREŠNJEVICA,200,34314
138,JELOVIK,200,34309
139,KOPLJARE,200,34308
140,MISAČA,200,34302
141,ORAŠAC,200,34308
142,PARTIZANI,200,34305
143,PROGOREOCI,200,34305
144,RANILOVIĆ,200,34302
145,STOJNIK,200,34307
146,TULEŽ,200,34306
147,ARILJE,25,31230
148,BJELUŠA,25,31234
149,BOGOJEVIĆI,25,31230
150,BREKOVO,25,31234
151,VIGOŠTE,25,31230
152,VIROVO,25,31230
153,VISOKA,25,31230
154,VRANE,25,31230
155,GRDOVIĆI,25,31230
156,GRIVSKA,25,31230
157,DOBRAČE,25,31234
158,DRAGOJEVAC,25,31230
159,KRUŠČICA,25,31230
160,LATVICA,25,31230
161,MIROSALJCI,25,31236
162,POGLED,25,31230
163,RADOBUĐA,25,31230
164,RADOŠEVO,25,31230
165,SEVEROVO,25,31230
166,STUPČEVIĆI,25,31236
167,TREŠNJEVICA,25,31236
168,CEROVA,25,31230
169,ALEKSANDROVAC,26,18330
170,BABUŠNICA,26,18330
171,BERDUJ,26,18217
172,BERIN IZVOR,26,18333
173,BOGDANOVAC,26,18217
174,BRATIŠEVAC,26,18330
175,BRESTOV DOL,26,18217
176,VAVA,26,18330
177,VALNIŠ,26,18332
178,VELIKO BONJINCE,26,18215
179,VOJNICI,26,18330
180,VRELO,26,18217
181,VUČI DEL,26,18333
182,GORNJE KRNJINO,26,18330
183,GORNJI STRIŽEVAC,26,18330
184,GORČINCI,26,18330
185,GRNČAR,26,18217
186,DOL,26,18217
187,DONJE KRNJINO,26,18330
188,DONJI STRIŽEVAC,26,18330
189,DRAGINAC,26,18330
190,DUČEVAC,26,18330
191,ZAVIDINCE,26,18215
192,ZVONCE,26,18333
193,IZVOR,26,18330
194,JASENOV DEL,26,18333
195,KALUĐEROVO,26,18330
196,KAMBELEVCI,26,18330
197,KIJEVAC,26,18330
198,LESKOVICA,26,18217
199,LINOVO,26,18217
200,LJUBERAĐA,26,18217
201,MALO BONJINCE,26,18215
202,MASUROVCI,26,18332
203,MEZGRAJA,26,18215
204,MODRA STENA,26,18215
205,NAŠUŠKOVICA,26,18333
206,OSTATOVICA,26,18215
207,PRESEKA,26,18333
208,PROVALJENIK,26,18330
209,RADINJINCI,26,18217
210,RADOSINJ,26,18332
211,RADOŠEVAC,26,18330
212,RAKITA,26,18333
213,RAKOV DOL,26,18332
214,RALJIN,26,18332
215,RESNIK,26,18330
216,STOL,26,18330
217,STRELAC,26,18332
218,STUDENA,26,18332
219,SURAČEVO,26,18330
220,CRVENA JABUKA,26,18332
221,ŠTRBOVAC,26,18217
222,BAJINA BAŠTA,27,31250
223,BAČEVCI,27,31258
224,BESEROVINA,27,31256
225,VIŠESAVA,27,31250
226,GVOZDAC,27,31255
227,DOBROTIN,27,31254
228,DRAKSIN,27,31254
229,DUB,27,31253
230,ZAGLAVAK,27,31253
231,ZAOVINE,27,31251
232,ZAROŽJE,27,31255
233,ZAUGLINE,27,31256
234,ZLODOL,27,31253
235,JAGOŠTICA,27,31256
236,JAKALJ,27,31263
237,JELOVIK,27,31254
238,KONJSKA REKA,27,31251
239,KOSTOJEVIĆI,27,31254
240,LUG,27,31250
241,LJEŠTANSKO,27,31255
242,MALA REKA,27,31250
243,OBAJGORA,27,31250
244,OVČINJA,27,31255
245,OKLETAC,27,31255
246,PEPELJ,27,31250
247,PERUĆAC,27,31251
248,PILICA,27,31250
249,PRIDOLI,27,31250
250,RASTIŠTE,27,31256
251,RAČA,27,31250
252,ROGAČICA,27,31255
253,SIJERAČ,27,31255
254,SOLOTUŠA,27,31241
255,STRMOVO,27,31258
256,CERJE,27,31254
257,CRVICA,27,31250
258,BADNJEVAC,28,34226
259,BATOČINA,28,34227
260,BRZAN,28,34228
261,GRADAC,28,34227
262,DOBROVODICA,28,34227
263,ŽIROVNICA,28,34229
264,KIJEVO,28,34227
265,LAPOVO (VAROŠICA),105,34220
266,LAPOVO (SELO),105,34220
267,MILATOVAC,28,34222
268,NIKŠIĆ,28,34222
269,PRNJAVOR,28,34222
270,CRNI KAO,28,34227
271,BABIN KAL,29,18310
272,BEŽIŠTE,29,18310
273,BELA PALANKA,29,18310
274,BUKUROVAC,29,18310
275,VETA,29,18313
276,VITANOVAC,29,18310
277,VRANDOL,29,18313
278,VRGUDINAC,29,18310
279,GLOGOVAC,29,18313
280,GORNJA GLAMA,29,18310
281,GORNJA KORITNICA,29,18310
282,GORNJI RINJ,29,18310
283,GRADIŠTE,29,18314
284,DIVLJANA,29,18310
285,DOLAC (NASELJE),29,18314
286,DOLAC (SELO),29,18314
287,DONJA GLAMA,29,18310
