StreetId,StreetName,PlaceId
1,ABERDAREVA,4258
2,ADA CIGANLIJA,4262
3,ADA HUJA-OSTRVO,4258
4,ADMIRALA GEPRATA,4260
5,ADMIRALA VUKOVIĆA,4253
6,ADŽINE LIVADE,4259
7,ALBANSKE SPOMENICE,4258
8,ALEKSANDRA FLEMINGA,4258
9,ALEKSANDRA GLIŠIĆA,4260
10,ALEKSANDRA STAMBOLISKOG,4260
11,ALEKSE BAČVANSKOG,4260
12,MITROPOLITA MRAOVIĆA,4255
13,ALEKSE NENADOVIĆA,4254
14,ALEKSINAČKA,4253
15,ANASTASA JOVANOVIĆA,4254
16,ANDRE NIKOLIĆA,4260
17,ANE FRANK,4258
18,ANTE BOGIĆEVIĆA,4255
19,ANTONA ČEHOVA,4259
20,ARADSKA,4255
21,ARANĐELOVAČKA,4253
22,ARHIEPISKOPA DANILA,4258
23,ARILJSKA,4255
24,ASTRONOMSKA,4255
24,ASTRONOMSKA,4258
25,ATINSKA,4260
26,CARA IRAKLIJA,4260
27,AKADEMSKI PLATO,4261
28,NIKOLAJA KRASNOVA,4254
29,AVDE KARABEGOVIĆA,4254
30,BABA-VIŠNJINA,4254
31,BAČVANSKA,4253
32,BAJDINA,4255
33,DIANE BUDISAVLJAVIĆ,4260
34,SVETOG NIKOLE,4255
35,BAJRONOVA,4253
36,BAKARSKA,4253
37,BAKIĆEVA,4253
38,BALKANSKA,4260
38,BALKANSKA,4261
39,BANA IVANIŠA,4255
40,BANA MLADENA,4255
41,IVANA ĐAJE,4254
42,BANOVIĆKA,4258
43,BANJALUČKA,4253
44,BANJIČKI PUT,4259
45,RAJKA MITIĆA,4260
46,BANJIČKIH ŽRTAVA,4260
47,BANJSKA,4255
48,BARA VENECIJA,4260
49,BARAJEVSKA,4253
50,BAŠTOVANSKA,4253
51,BATA-LAKINA,4258
52,BATUTOVA,4255
53,BEBELOVA,4253
54,BEGEJSKA,4255
55,BELIČKA,4253
56,BELIMARKOVIĆEVA,4253
57,BELOKRAJINSKA,4255
58,BELOCRKVANSKA,4260
59,BELOPALANAČKA,4255
60,BEOGRADSKOG BATALJONA,4262
61,BERANSKA,4253
62,BILEĆKA,4253
63,BINIČKOG,4260
64,BRACANA BRACANOVIĆA,4253
65,BIRČANINOVA,4260
66,BISTRIČKA,4258
67,BJELANOVIĆEVA,4254
68,BJELOVARSKA,4253
69,BLAGAJSKA,4255
70,BLAGOJA PAROVIĆA,4262
71,BLAZNAVČEVA,4259
72,BLEDSKA,4255
73,BOGDANA POPOVIĆA,4253
74,BOGDANA ŽERAJIĆA,4259
75,BOGOBOJA ATANACKOVIĆA,4253
76,BOHINJSKA,4255
77,BOKELJSKA,4253
77,BOKELJSKA,4254
78,BORE PRODANOVIĆA,4255
79,BORE STANKOVIĆA,4254
80,BORIVOJA STEVANOVIĆA,4253
80,BORIVOJA STEVANOVIĆA,4255
81,BEOGRADSKA (VRAČAR),4254
81,BEOGRADSKA (PALILULA),4258
82,BORSKA,4259
83,BOSE MILIĆEVIĆ,4253
84,BOSUTSKA,4255
85,BOŠKA PETROVIĆA,4260
86,GENERALA LEŠJANINA,4261
87,MIHAILA MIKE JANKOVIĆA,4260
88,BOŽE JANKOVIĆA,4253
89,BOŽE JEREMIĆA,4259
90,RADOSLAVA GRUJIĆA,4254
91,BRAĆE AMAR,4255
92,BRAĆE BARUH,4261
93,BRAĆE GRIM,4258
94,BRAĆE JERKOVIĆA,4253
95,BRAĆE JUGOVIĆA,4261
96,BRAĆE KOVAČ,4253
97,BRAĆE KRSMANOVIĆA,4260
98,BRAĆE MILADINOV,4255
99,BRAĆE NEDIĆA,4254
100,BRAĆE RADOVANOVIĆA,4254
101,BRAĆE RIBNIKAR,4255
102,BRAĆE TODOROVIĆ,4255
103,BRAČKA,4255
104,ALEKSANDRA DEROKA,4255
105,DIMITRIJA PARLIĆA,4255
106,PETRA KOLENDIĆA,4255
107,BRAĆE SRNIĆ,4253
107,BRAĆE SRNIĆ,4255
108,BRANIČEVSKA,4254
